CODE,CATEGORY
65862000000,RX_ACE
67544000000,RX_BBLOCKER
258357510,RX_ACE
555036702,RX_BBLOCKER
186109505,RX_THIAZIDE
187014310,RX_ACE
187019201,RX_ACE
42291000000,
364273401,RX_ACE
58016000000,
57866000000,RX_THIAZIDE
55887000000,
55887000000,RX_ACE
55887000000,RX_LOOP_DIURETIC
8415401,
172503480,RX_ACE
62037000000,RX_BBLOCKER
58016000000,RX_BBLOCKER
663436058,RX_ACE
51655000000,
179037701,RX_BBLOCKER
54868000000,RX_THIAZIDE
54569000000,RX_ACE
68115000000,RX_NITRATES
68789000000,RX_BBLOCKER
781252010,RX_LOOP_DIURETIC
12634000000,RX_THIAZIDE
17224000000,RX_ACE
17224000000,RX_BBLOCKER
68789000000,RX_THIAZIDE
61392000000,RX_BBLOCKER
68788000000,RX_ACE
68788000000,RX_THIAZIDE
182181289,RX_BBLOCKER
49856000000,RX_DIGOXIN
64125000000,RX_ACE
46042498,RX_ACE
13668000000,RX_LOOP_DIURETIC
47837000000,
47471000000,RX_DIGOXIN
527147725,RX_BBLOCKER
15548000000,RX_LOOP_DIURETIC
55648000000,RX_THIAZIDE
55155000000,RX_LOOP_DIURETIC
24236000000,RX_BBLOCKER
49999000000,
42658000000,RX_THIAZIDE
63630000000,RX_BBLOCKER
67544000000,RX_NITRATES
21695000000,RX_NITRATES
60429000000,RX_ACE
64679000000,RX_THIAZIDE
67296000000,RX_BBLOCKER
143150310,RX_THIAZIDE
68789000000,RX_THIAZIDE
42806000000,RX_BBLOCKER
536565101,RX_BBLOCKER
378003211,RX_ACE
70518000000,RX_BBLOCKER
51655000000,RX_LOOP_DIURETIC
58017000000,RX_NITRATES
66336000000,RX_ACE
68382000000,RX_THIAZIDE
53258000000,RX_THIAZIDE
904504560,
51407000000,RX_DIGOXIN
53265000000,RX_THIAZIDE
364240101,RX_ACE
172298660,RX_ACE
31722000000,
67253000000,RX_BBLOCKER
93069401,RX_THIAZIDE
71610000000,RX_THIAZIDE
172375960,RX_ACE
87120213,RX_ACE
55289000000,RX_ACE
17224000000,RX_BBLOCKER
58016000000,RX_ACE
